"","Cluster","Gene"
"JAK1","1","JAK1"
"RPF1","1","RPF1"
"GNG5","1","GNG5"
"GBP1","1","GBP1"
"GBP2","1","GBP2"
"GBP4","1","GBP4"
"RPL5","4","RPL5"
"DPYD","3","DPYD"
"SARS","1","SARS"
"PSMA5","1","PSMA5"
"AMPD2","1","AMPD2"
"CD53","1","CD53"
"C1orf162","1","C1orf162"
"RAP1A","1","RAP1A"
"FAM212B","1","FAM212B"
"CAPZA1","1","CAPZA1"
"MOV10","1","MOV10"
"RHOC","2","RHOC"
"ATP1A1","1","ATP1A1"
"SRGAP2B","1","SRGAP2B"
"CH17-373J23.1","3","CH17-373J23.1"
"RBM8A","1","RBM8A"
"FCGR1A","3","FCGR1A"
"APH1A","1","APH1A"
"MRPS21","1","MRPS21"
"MCL1","3","MCL1"
"ENSA","1","ENSA"
"PSMD4","1","PSMD4"
"MRPL9","1","MRPL9"
"S100A11","2","S100A11"
"S100A9","3","S100A9"
"S100A12","3","S100A12"
"S100A8","3","S100A8"
"S100A6","3","S100A6"
"S100A4","3","S100A4"
"S100A3","1","S100A3"
"ILF2","1","ILF2"
"SLC39A1","1","SLC39A1"
"TPM3","2","TPM3"
"HAX1","1","HAX1"
"ADAR","1","ADAR"
"PMVK","1","PMVK"
"CKS1B","1","CKS1B"
"FDPS","1","FDPS"
"SSR2","1","SSR2"
"CCT3","1","CCT3"
"GPATCH4","1","GPATCH4"
"RRNAD1","1","RRNAD1"
"MNDA","3","MNDA"
"TAGLN2","1","TAGLN2"
"CD48","1","CD48"
"SLAMF7","1","SLAMF7"
"CD244","1","CD244"
"ITLN1","1","ITLN1"
"TSTD1","1","TSTD1"
"ARHGAP30","2","ARHGAP30"
"PFDN2","1","PFDN2"
"NDUFS2","1","NDUFS2"
"FCER1G","2","FCER1G"
"FCGR3A","2","FCGR3A"
"FCGR3B","1","FCGR3B"
"SH2D1B","1","SH2D1B"
"MGST3","1","MGST3"
"TMCO1","1","TMCO1"
"SFT2D2","1","SFT2D2"
"F5","3","F5"
"SELL","3","SELL"
"KIFAP3","1","KIFAP3"
"PRRC2C","1","PRRC2C"
"RABGAP1L","1","RABGAP1L"
"CACYBP","1","CACYBP"
"ACBD6","1","ACBD6"
"RP11-540K16.1","1","RP11-540K16.1"
"ARPC5","1","ARPC5"
"TPR","1","TPR"
"PTPRC","1","PTPRC"
"SHISA4","1","SHISA4"
"RNPEP","1","RNPEP"
"BTG2","1","BTG2"
"SRGAP2","1","SRGAP2"
"RASSF5","1","RASSF5"
"EIF2D","1","EIF2D"
"C1orf132","1","C1orf132"
"TRAF3IP3","2","TRAF3IP3"
"RP11-338C15.3","1","RP11-338C15.3"
"BATF3","1","BATF3"
"TATDN3","1","TATDN3"
"MARC1","3","MARC1"
"DEGS1","1","DEGS1"
"LBR","1","LBR"
"SRP9","1","SRP9"
"PYCR2","1","PYCR2"
"PARP1","1","PARP1"
"ARF1","1","ARF1"
"RNF187","1","RNF187"
"IRF2BP2","3","IRF2BP2"
"ARID4B","1","ARID4B"
"LYST","1","LYST"
"GPR137B","1","GPR137B"
"FH","1","FH"
"COX20","1","COX20"
"TRAPPC12","1","TRAPPC12"
"RPS7","4","RPS7"
"YWHAQ","1","YWHAQ"
"KLF11","1","KLF11"
"PQLC3","1","PQLC3"
"LAPTM4A","1","LAPTM4A"
"ITSN2","1","ITSN2"
"RAB10","1","RAB10"
"HADHA","1","HADHA"
"ATRAID","1","ATRAID"
"SNX17","1","SNX17"
"PPM1G","1","PPM1G"
"CLIP4","1","CLIP4"
"QPCT","3","QPCT"
"CYP1B1","3","CYP1B1"
"SRSF7","1","SRSF7"
"EML4","1","EML4"
"SRBD1","1","SRBD1"
"CALM2","2","CALM2"
"RTN4","1","RTN4"
"REL","1","REL"
"MDH1","1","MDH1"
"SLC1A4","1","SLC1A4"
"ARHGAP25","1","ARHGAP25"
"ANXA4","1","ANXA4"
"SNRPG","1","SNRPG"
"ADD2","1","ADD2"
"NAGK","1","NAGK"
"PRADC1","1","PRADC1"
"CCT7","1","CCT7"
"MOB1A","1","MOB1A"
"MTHFD2","1","MTHFD2"
"AUP1","1","AUP1"
"HK2","3","HK2"
"SUCLG1","1","SUCLG1"
"CAPG","3","CAPG"
"VAMP5","2","VAMP5"
"ST3GAL5","1","ST3GAL5"
"RPIA","1","RPIA"
"MRPS5","1","MRPS5"
"SEMA4C","1","SEMA4C"
"COX5B","1","COX5B"
"INPP4A","1","INPP4A"
"EIF5B","1","EIF5B"
"PDCL3","1","PDCL3"
"TBC1D8","1","TBC1D8"
"RNF149","1","RNF149"
"GCC2","1","GCC2"
"MERTK","1","MERTK"
"SLC20A1","1","SLC20A1"
"IL1B","3","IL1B"
"ACTR3","2","ACTR3"
"RALB","1","RALB"
"TSN","1","TSN"
"CCDC115","1","CCDC115"
"PTPN18","1","PTPN18"
"KYNU","1","KYNU"
"TNFAIP6","3","TNFAIP6"
"FMNL2","1","FMNL2"
"CYTIP","2","CYTIP"
"PSMD14","1","PSMD14"
"GCA","3","GCA"
"SSB","1","SSB"
"ATP5G3","1","ATP5G3"
"ITGA4","2","ITGA4"
"RP11-347P5.1","1","RP11-347P5.1"
"ANKRD44","1","ANKRD44"
"HSPE1","1","HSPE1"
"CASP10","1","CASP10"
"SUMO1","1","SUMO1"
"CYP20A1","1","CYP20A1"
"EEF1B2","4","EEF1B2"
"ARPC2","2","ARPC2"
"GPBAR1","2","GPBAR1"
"AAMP","1","AAMP"
"TMBIM1","1","TMBIM1"
"CNPPD1","1","CNPPD1"
"DNPEP","1","DNPEP"
"DOCK10","1","DOCK10"
"SP110","1","SP110"
"SP140","1","SP140"
"SP140L","1","SP140L"
"NCL","1","NCL"
"PTMA","1","PTMA"
"EIF4E2","1","EIF4E2"
"INPP5D","1","INPP5D"
"LRRFIP1","1","LRRFIP1"
"PPP1R7","2","PPP1R7"
"MTMR14","1","MTMR14"
"CAMK1","2","CAMK1"
"TADA3","2","TADA3"
"ARPC4","1","ARPC4"
"RPL32","5","RPL32"
"EAF1","3","EAF1"
"ANKRD28","3","ANKRD28"
"RFTN1","1","RFTN1"
"UBE2E2","1","UBE2E2"
"RPL15","4","RPL15"
"CMTM6","1","CMTM6"
"DYNC1LI1","1","DYNC1LI1"
"CRTAP","3","CRTAP"
"ACAA1","2","ACAA1"
"MYD88","1","MYD88"
"CX3CR1","1","CX3CR1"
"RPSA","4","RPSA"
"RPL14","4","RPL14"
"NKTR","1","NKTR"
"HIGD1A","1","HIGD1A"
"LIMD1","1","LIMD1"
"CCR2","3","CCR2"
"CCDC12","2","CCDC12"
"SHISA5","1","SHISA5"
"NDUFAF3","1","NDUFAF3"
"QARS","1","QARS"
"GPX1","3","GPX1"
"RHOA","1","RHOA"
"TCTA","1","TCTA"
"GMPPB","1","GMPPB"
"GNAI2","1","GNAI2"
"CYB561D2","1","CYB561D2"
"MAPKAPK3","2","MAPKAPK3"
"TEX264","1","TEX264"
"STAB1","1","STAB1"
"PRKCD","1","PRKCD"
"ABHD6","1","ABHD6"
"PDHB","1","PDHB"
"C3orf14","1","C3orf14"
"ARL6IP5","2","ARL6IP5"
"GPR27","3","GPR27"
"PROK2","3","PROK2"
"LINC00877","1","LINC00877"
"FILIP1L","1","FILIP1L"
"PCNP","1","PCNP"
"NFKBIZ","1","NFKBIZ"
"RP11-221J22.2","1","RP11-221J22.2"
"BBX","1","BBX"
"CD47","2","CD47"
"LINC01215","1","LINC01215"
"IFT57","1","IFT57"
"ATG3","2","ATG3"
"SLC35A5","1","SLC35A5"
"COX17","2","COX17"
"NDUFB4","1","NDUFB4"
"HCLS1","2","HCLS1"
"EAF2","1","EAF2"
"CD86","1","CD86"
"CSTA","3","CSTA"
"FAM162A","1","FAM162A"
"PARP9","1","PARP9"
"HEG1","1","HEG1"
"MGLL","1","MGLL"
"RAB7A","1","RAB7A"
"CNBP","1","CNBP"
"MRAS","1","MRAS"
"ATP1B3","1","ATP1B3"
"CHST2","1","CHST2"
"RNF13","1","RNF13"
"SELT","1","SELT"
"CCNL1","3","CCNL1"
"TNFSF10","1","TNFSF10"
"MRPL47","1","MRPL47"
"AP2M1","1","AP2M1"
"POLR2H","1","POLR2H"
"EIF4A2","1","EIF4A2"
"HES1","1","HES1"
"LINC00969","1","LINC00969"
"RPL35A","5","RPL35A"
"ATP5I","3","ATP5I"
"FGFRL1","1","FGFRL1"
"MAEA","1","MAEA"
"RP11-1398P2.1","1","RP11-1398P2.1"
"C4orf48","3","C4orf48"
"TNIP2","1","TNIP2"
"SH3BP2","1","SH3BP2"
"RGS12","1","RGS12"
"LRPAP1","1","LRPAP1"
"S100P","3","S100P"
"SH3TC1","1","SH3TC1"
"WDR1","1","WDR1"
"FAM200B","3","FAM200B"
"BST1","3","BST1"
"QDPR","1","QDPR"
"STIM2","1","STIM2"
"ARAP2","1","ARAP2"
"TBC1D1","1","TBC1D1"
"KLF3","1","KLF3"
"SRD5A3","1","SRD5A3"
"TMEM165","1","TMEM165"
"REST","1","REST"
"DCK","1","DCK"
"CXCL8","3","CXCL8"
"EREG","3","EREG"
"NAAA","2","NAAA"
"CXCL10","1","CXCL10"
"SEPT11","1","SEPT11"
"CCNI","1","CCNI"
"CNOT6L","1","CNOT6L"
"RASGEF1B","1","RASGEF1B"
"HNRNPDL","1","HNRNPDL"
"COPS4","1","COPS4"
"PLAC8","2","PLAC8"
"PTPN13","1","PTPN13"
"PDLIM5","1","PDLIM5"
"H2AFZ","1","H2AFZ"
"CENPE","1","CENPE"
"RPL34","5","RPL34"
"SNHG8","1","SNHG8"
"ANXA5","2","ANXA5"
"SCLT1","1","SCLT1"
"NDUFC1","1","NDUFC1"
"RP11-362F19.1","1","RP11-362F19.1"
"ANAPC10","1","ANAPC10"
"RPS3A","5","RPS3A"
"GUCY1A3","1","GUCY1A3"
"GUCY1B3","1","GUCY1B3"
"FAM198B","3","FAM198B"
"TMA16","1","TMA16"
"SH3RF1","1","SH3RF1"
"HMGB2","3","HMGB2"
"ING2","1","ING2"
"IRF2","1","IRF2"
"CASP3","1","CASP3"
"CENPU","1","CENPU"
"FRG1","1","FRG1"
"MED10","1","MED10"
"CCT5","1","CCT5"
"ZNF622","1","ZNF622"
"ZFR","1","ZFR"
"PTGER4","1","PTGER4"
"EMB","3","EMB"
"SNX18","1","SNX18"
"SETD9","1","SETD9"
"KIF2A","1","KIF2A"
"CTC-537E7.3","1","CTC-537E7.3"
"NAIP","3","NAIP"
"GTF2H2","1","GTF2H2"
"RPS23","4","RPS23"
"VCAN","3","VCAN"
"LNPEP","1","LNPEP"
"EPB41L4A","1","EPB41L4A"
"REEP5","1","REEP5"
"TNFAIP8","1","TNFAIP8"
"SNX2","1","SNX2"
"LMNB1","3","LMNB1"
"C5orf56","1","C5orf56"
"IRF1","2","IRF1"
"VDAC1","1","VDAC1"
"HNRNPA0","1","HNRNPA0"
"PAIP2","1","PAIP2"
"PFDN1","1","PFDN1"
"APBB3","3","APBB3"
"CD14","3","CD14"
"IK","1","IK"
"WDR55","1","WDR55"
"HARS","1","HARS"
"KIAA0141","1","KIAA0141"
"NDFIP1","1","NDFIP1"
"ADRB2","1","ADRB2"
"PPARGC1B","1","PPARGC1B"
"CSF1R","2","CSF1R"
"TCOF1","3","TCOF1"
"CD74","4","CD74"
"RPS14","5","RPS14"
"GM2A","3","GM2A"
"GALNT10","1","GALNT10"
"MRPL22","1","MRPL22"
"CYFIP2","1","CYFIP2"
"ADAM19","3","ADAM19"
"CLINT1","1","CLINT1"
"TTC1","1","TTC1"
"SLU7","1","SLU7"
"KCNMB1","1","KCNMB1"
"STK10","2","STK10"
"ERGIC1","1","ERGIC1"
"THOC3","1","THOC3"
"HIGD2A","1","HIGD2A"
"HK3","1","HK3"
"RAB24","1","RAB24"
"MXD3","1","MXD3"
"PRELID1","2","PRELID1"
"LMAN2","1","LMAN2"
"GRK6","1","GRK6"
"TMED9","1","TMED9"
"PHYKPL","1","PHYKPL"
"CLK4","1","CLK4"
"SCGB3A1","1","SCGB3A1"
"GNB2L1","4","GNB2L1"
"SERPINB9","1","SERPINB9"
"TMEM170B","3","TMEM170B"
"NOL7","1","NOL7"
"DTNBP1","1","DTNBP1"
"TPMT","1","TPMT"
"KDM1B","1","KDM1B"
"DEK","1","DEK"
"RNF144B","1","RNF144B"
"SOX4","1","SOX4"
"FAM65B","1","FAM65B"
"BTN3A2","1","BTN3A2"
"HLA-F","1","HLA-F"
"HLA-A","2","HLA-A"
"PPP1R11","1","PPP1R11"
"HLA-E","2","HLA-E"
"MRPS18B","1","MRPS18B"
"TUBB","1","TUBB"
"IER3","3","IER3"
"HLA-C","2","HLA-C"
"HLA-B","2","HLA-B"
"LTB","2","LTB"
"LST1","2","LST1"
"AIF1","2","AIF1"
"C6orf47","1","C6orf47"
"CSNK2B","2","CSNK2B"
"DDAH2","1","DDAH2"
"CLIC1","2","CLIC1"
"C6orf48","1","C6orf48"
"C2","1","C2"
"NELFE","1","NELFE"
"ATF6B","1","ATF6B"
"RNF5","1","RNF5"
"GPSM3","1","GPSM3"
"NOTCH4","1","NOTCH4"
"HLA-DRA","4","HLA-DRA"
"HLA-DRB5","1","HLA-DRB5"
"HLA-DRB1","4","HLA-DRB1"
"HLA-DQA1","4","HLA-DQA1"
"HLA-DQB1","4","HLA-DQB1"
"HLA-DQA2","1","HLA-DQA2"
"TAP2","1","TAP2"
"PSMB8","1","PSMB8"
"PSMB9","2","PSMB9"
"TAP1","1","TAP1"
"HLA-DMA","4","HLA-DMA"
"HLA-DPA1","4","HLA-DPA1"
"HLA-DPB1","4","HLA-DPB1"
"PFDN6","1","PFDN6"
"RPS10","4","RPS10"
"SNRPC","1","SNRPC"
"RPL10A","4","RPL10A"
"FGD2","1","FGD2"
"GLO1","1","GLO1"
"TREM1","1","TREM1"
"MEA1","1","MEA1"
"DNPH1","1","DNPH1"
"VEGFA","3","VEGFA"
"HSP90AB1","2","HSP90AB1"
"PLA2G7","1","PLA2G7"
"GSTA4","1","GSTA4"
"EEF1A1","4","EEF1A1"
"COX7A2","1","COX7A2"
"UBE2J1","1","UBE2J1"
"PNISR","1","PNISR"
"SNX3","1","SNX3"
"MICAL1","1","MICAL1"
"MARCKS","2","MARCKS"
"FAM26F","2","FAM26F"
"STX7","1","STX7"
"VNN3","3","VNN3"
"VNN2","3","VNN2"
"SGK1","3","SGK1"
"TNFAIP3","3","TNFAIP3"
"ABRACL","1","ABRACL"
"AIG1","1","AIG1"
"UTRN","2","UTRN"
"SASH1","1","SASH1"
"RP11-350J20.12","1","RP11-350J20.12"
"MTRF1L","1","MTRF1L"
"SNX9","1","SNX9"
"EZR","1","EZR"
"MRPL18","1","MRPL18"
"MPC1","2","MPC1"
"RNASET2","2","RNASET2"
"PSMB1","1","PSMB1"
"ACTB","2","ACTB"
"CCZ1","1","CCZ1"
"NDUFA4","2","NDUFA4"
"ARL4A","1","ARL4A"
"CYCS","1","CYCS"
"HNRNPA2B1","1","HNRNPA2B1"
"HOTAIRM1","1","HOTAIRM1"
"CPVL","2","CPVL"
"SCRN1","1","SCRN1"
"PPP1R17","1","PPP1R17"
"SEPT7","1","SEPT7"
"COA1","1","COA1"
"BLVRA","1","BLVRA"
"AC004951.6","1","AC004951.6"
"DBNL","1","DBNL"
"PPIA","1","PPIA"
"MYO1G","2","MYO1G"
"SNHG15","1","SNHG15"
"CCM2","1","CCM2"
"IKZF1","2","IKZF1"
"CCT6A","1","CCT6A"
"SUMF2","1","SUMF2"
"CHCHD2","1","CHCHD2"
"GUSB","1","GUSB"
"BCL7B","1","BCL7B"
"EIF4H","1","EIF4H"
"GTF2I","3","GTF2I"
"NCF1","3","NCF1"
"MDH2","1","MDH2"
"HSPB1","1","HSPB1"
"RSBN1L","1","RSBN1L"
"PHTF2","1","PHTF2"
"CD36","3","CD36"
"SRI","1","SRI"
"STEAP4","3","STEAP4"
"FZD1","1","FZD1"
"CDK6","1","CDK6"
"SAMD9","1","SAMD9"
"SAMD9L","1","SAMD9L"
"BRI3","2","BRI3"
"ARPC1A","1","ARPC1A"
"ARPC1B","1","ARPC1B"
"PDAP1","1","PDAP1"
"BUD31","1","BUD31"
"AP4M1","1","AP4M1"
"PILRA","2","PILRA"
"TSC22D4","1","TSC22D4"
"GNB2","2","GNB2"
"SLC12A9","1","SLC12A9"
"CUX1","1","CUX1"
"SH2B2","1","SH2B2"
"POLR2J3","1","POLR2J3"
"PMPCB","1","PMPCB"
"PSMC2","1","PSMC2"
"TFEC","3","TFEC"
"CAPZA2","1","CAPZA2"
"NDUFA5","1","NDUFA5"
"CHCHD3","1","CHCHD3"
"MTPN","1","MTPN"
"TBXAS1","2","TBXAS1"
"PARP12","1","PARP12"
"MKRN1","1","MKRN1"
"CLEC5A","3","CLEC5A"
"GSTK1","2","GSTK1"
"ZYX","1","ZYX"
"GIMAP7","1","GIMAP7"
"GIMAP2","1","GIMAP2"
"TMEM176B","1","TMEM176B"
"SMARCD3","3","SMARCD3"
"AC144652.1","1","AC144652.1"
"INSIG1","1","INSIG1"
"DNAJB6","1","DNAJB6"
"AC011899.9","1","AC011899.9"
"IL3RA","1","IL3RA"
"SLC25A6","1","SLC25A6"
"HCCS","1","HCCS"
"TMSB4X","2","TMSB4X"
"ZRSR2","1","ZRSR2"
"AP1S2","3","AP1S2"
"RBBP7","1","RBBP7"
"PDHA1","1","PDHA1"
"PRDX4","1","PRDX4"
"SAT1","2","SAT1"
"CYBB","3","CYBB"
"CHST7","1","CHST7"
"TIMP1","2","TIMP1"
"CFP","1","CFP"
"EBP","1","EBP"
"RBM3","1","RBM3"
"WAS","1","WAS"
"PLP2","3","PLP2"
"TSR2","1","TSR2"
"MAGED2","1","MAGED2"
"MSN","1","MSN"
"RP6-159A1.4","3","RP6-159A1.4"
"IGBP1","1","IGBP1"
"RPS4X","4","RPS4X"
"PGK1","1","PGK1"
"P2RY10","1","P2RY10"
"SH3BGRL","2","SH3BGRL"
"BTK","1","BTK"
"RPL36A","4","RPL36A"
"ARMCX6","1","ARMCX6"
"TSC22D3","1","TSC22D3"
"SLC25A5","1","SLC25A5"
"UBE2A","1","UBE2A"
"SEPT6","1","SEPT6"
"RPL39","5","RPL39"
"NDUFA1","1","NDUFA1"
"RAP2C","1","RAP2C"
"HPRT1","1","HPRT1"
"CETN2","1","CETN2"
"BCAP31","1","BCAP31"
"ARHGAP4","1","ARHGAP4"
"FLNA","1","FLNA"
"DNASE1L1","1","DNASE1L1"
"IKBKG","1","IKBKG"
"FUNDC2","1","FUNDC2"
"CLIC2","1","CLIC2"
"ERICH1","1","ERICH1"
"CLN8","1","CLN8"
"MSRA","1","MSRA"
"MSR1","1","MSR1"
"ASAH1","2","ASAH1"
"DOK2","1","DOK2"
"PDLIM2","1","PDLIM2"
"BIN3","1","BIN3"
"DOCK5","2","DOCK5"
"SARAF","1","SARAF"
"ZNF703","2","ZNF703"
"ASH2L","1","ASH2L"
"LYN","2","LYN"
"RPS20","4","RPS20"
"RAB2A","1","RAB2A"
"COPS5","1","COPS5"
"RPL7","5","RPL7"
"TCEB1","1","TCEB1"
"HEY1","1","HEY1"
"MRPS28","1","MRPS28"
"PAG1","1","PAG1"
"CA2","1","CA2"
"DECR1","1","DECR1"
"KIAA1429","1","KIAA1429"
"RPL30","4","RPL30"
"COX6C","1","COX6C"
"PABPC1","1","PABPC1"
"ZNF706","2","ZNF706"
"KLF10","3","KLF10"
"EIF3H","1","EIF3H"
"MRPL13","1","MRPL13"
"MTSS1","2","MTSS1"
"CASC8","3","CASC8"
"CCDC26","1","CCDC26"
"FAM49B","1","FAM49B"
"CHRAC1","1","CHRAC1"
"GPR20","1","GPR20"
"PTP4A3","1","PTP4A3"
"CTD-3064M3.7","1","CTD-3064M3.7"
"LYPD2","1","LYPD2"
"LYNX1","1","LYNX1"
"LY6E","2","LY6E"
"GSDMD","1","GSDMD"
"TSTA3","1","TSTA3"
"PUF60","1","PUF60"
"CYC1","1","CYC1"
"MAF1","1","MAF1"
"HSF1","1","HSF1"
"SLC52A2","1","SLC52A2"
"RPL8","1","RPL8"
"CBWD1","1","CBWD1"
"SNAPC3","1","SNAPC3"
"DNAJA1","1","DNAJA1"
"CHMP5","1","CHMP5"
"PTENP1-AS","1","PTENP1-AS"
"ENHO","1","ENHO"
"SIGMAR1","1","SIGMAR1"
"VCP","1","VCP"
"TLN1","1","TLN1"
"ALDH1A1","3","ALDH1A1"
"ANXA1","3","ANXA1"
"OSTF1","1","OSTF1"
"RFK","1","RFK"
"GCNT1","1","GCNT1"
"GNAQ","3","GNAQ"
"TLE4","1","TLE4"
"IDNK","1","IDNK"
"CTSL","1","CTSL"
"S1PR3","3","S1PR3"
"FAM120A","3","FAM120A"
"NANS","1","NANS"
"TRIM14","1","TRIM14"
"ERP44","2","ERP44"
"RNF20","1","RNF20"
"SMC2","1","SMC2"
"NIPSNAP3A","1","NIPSNAP3A"
"SLC31A2","1","SLC31A2"
"MEGF9","3","MEGF9"
"PHF19","1","PHF19"
"SH2D3C","1","SH2D3C"
"SLC25A25","1","SLC25A25"
"C9orf78","2","C9orf78"
"FNBP1","1","FNBP1"
"FIBCD1","1","FIBCD1"
"NUP214","3","NUP214"
"RPL7A","4","RPL7A"
"SLC2A6","2","SLC2A6"
"FCN1","3","FCN1"
"UBAC1","1","UBAC1"
"CARD9","1","CARD9"
"NSMF","1","NSMF"
"ARRDC1","1","ARRDC1"
"IFITM2","2","IFITM2"
"IFITM1","1","IFITM1"
"IFITM3","2","IFITM3"
"RNH1","1","RNH1"
"IRF7","2","IRF7"
"SLC25A22","1","SLC25A22"
"POLR2L","3","POLR2L"
"MOB2","1","MOB2"
"CTSD","3","CTSD"
"LSP1","2","LSP1"
"C11orf21","1","C11orf21"
"TSPAN32","1","TSPAN32"
"KCNQ1OT1","1","KCNQ1OT1"
"CDKN1C","2","CDKN1C"
"NAP1L4","1","NAP1L4"
"RHOG","1","RHOG"
"TRIM22","1","TRIM22"
"ILK","1","ILK"
"TAF10","1","TAF10"
"MRPL17","1","MRPL17"
"EIF3F","1","EIF3F"
"RPL27A","4","RPL27A"
"TMEM9B","1","TMEM9B"
"SWAP70","1","SWAP70"
"EIF4G2","1","EIF4G2"
"C11orf58","1","C11orf58"
"RPS13","5","RPS13"
"LDHA","1","LDHA"
"LMO2","1","LMO2"
"COMMD9","1","COMMD9"
"PRR5L","1","PRR5L"
"ARHGAP1","1","ARHGAP1"
"DDB2","1","DDB2"
"ACP2","1","ACP2"
"SPI1","2","SPI1"
"SLC39A13","1","SLC39A13"
"PSMC3","1","PSMC3"
"UBE2L6","2","UBE2L6"
"MRPL16","1","MRPL16"
"MS4A6A","3","MS4A6A"
"MS4A4A","1","MS4A4A"
"MS4A7","2","MS4A7"
"PTGDR2","1","PTGDR2"
"PRPF19","1","PRPF19"
"BEST1","1","BEST1"
"FTH1","2","FTH1"
"UBXN1","1","UBXN1"
"POLR2G","1","POLR2G"
"TMEM179B","1","TMEM179B"
"STX5","1","STX5"
"RARRES3","1","RARRES3"
"OTUB1","1","OTUB1"
"PPP1R14B","1","PPP1R14B"
"RASGRP2","1","RASGRP2"
"SF1","1","SF1"
"MAP4K2","1","MAP4K2"
"EHD1","1","EHD1"
"SLC25A45","1","SLC25A45"
"MALAT1","1","MALAT1"
"FAM89B","1","FAM89B"
"CFL1","2","CFL1"
"DRAP1","2","DRAP1"
"SART1","1","SART1"
"BANF1","1","BANF1"
"CATSPER1","3","CATSPER1"
"SF3B2","1","SF3B2"
"YIF1A","1","YIF1A"
"RIN1","1","RIN1"
"MRPL11","1","MRPL11"
"DPP3","1","DPP3"
"CLCF1","1","CLCF1"
"PPP1CA","2","PPP1CA"
"TBC1D10C","2","TBC1D10C"
"RPS6KB2","1","RPS6KB2"
"CORO1B","1","CORO1B"
"CABP4","1","CABP4"
"TMEM134","1","TMEM134"
"AIP","1","AIP"
"CDK2AP2","1","CDK2AP2"
"ACY3","1","ACY3"
"UNC93B1","1","UNC93B1"
"ALDH3B1","1","ALDH3B1"
"TCIRG1","1","TCIRG1"
"LAMTOR1","3","LAMTOR1"
"FOLR3","3","FOLR3"
"RELT","1","RELT"
"RAB6A","1","RAB6A"
"UCP2","2","UCP2"
"SPCS2","1","SPCS2"
"PAK1","1","PAK1"
"CCDC90B","1","CCDC90B"
"CTSC","1","CTSC"
"SLC36A4","3","SLC36A4"
"SMCO4","1","SMCO4"
"MED17","1","MED17"
"BIRC3","1","BIRC3"
"CASP4","1","CASP4"
"CASP5","1","CASP5"
"CASP1","1","CASP1"
"CARD16","2","CARD16"
"SDHD","1","SDHD"
"SIDT2","1","SIDT2"
"TAGLN","1","TAGLN"
"IL10RA","1","IL10RA"
"JAML","3","JAML"
"DDX6","1","DDX6"
"RPS25","4","RPS25"
"TRAPPC4","1","TRAPPC4"
"CBL","1","CBL"
"HSPA8","2","HSPA8"
"SRPRA","1","SRPRA"
"APLP2","3","APLP2"
"IDI1","1","IDI1"
"GDI2","2","GDI2"
"SFMBT2","1","SFMBT2"
"ATP5C1","1","ATP5C1"
"CDC123","1","CDC123"
"CAMK1D","1","CAMK1D"
"BEND7","1","BEND7"
"VIM","3","VIM"
"PIP4K2A","1","PIP4K2A"
"APBB1IP","1","APBB1IP"
"WAC-AS1","1","WAC-AS1"
"SVIL","1","SVIL"
"MAP3K8","1","MAP3K8"
"ITGB1","1","ITGB1"
"CCNY","3","CCNY"
"HNRNPF","1","HNRNPF"
"ALOX5","1","ALOX5"
"ZWINT","1","ZWINT"
"SRGN","3","SRGN"
"HK1","1","HK1"
